Existing name,New name
"Liberal Party of Canada candidates, 2015 Canadian federal election",Liberal Party of Canada candidates in the 2015 Canadian federal election
"Liberal Party of Newfoundland and Labrador leadership election, August 2011",August 2011 Liberal Party of Newfoundland and Labrador leadership election
"Liberal Party of Newfoundland and Labrador leadership election, May 2011",May 2011 Liberal Party of Newfoundland and Labrador leadership election
"Liberian constitutional referendum, 1847",1847 Liberian constitutional referendum
"Liberian constitutional referendum, 1849",1849 Liberian constitutional referendum
"Liberian constitutional referendum, 1861",1861 Liberian constitutional referendum
"Liberian constitutional referendum, 1870",1870 Liberian constitutional referendum
"Liberian constitutional referendum, 1907",1907 Liberian constitutional referendum
"Liberian constitutional referendum, 1927",1927 Liberian constitutional referendum
"Liberian constitutional referendum, 1935",1935 Liberian constitutional referendum
"Liberian constitutional referendum, 1943",1943 Liberian constitutional referendum
"Liberian constitutional referendum, 1945",1945 Liberian constitutional referendum
"Liberian constitutional referendum, 1946",1946 Liberian constitutional referendum
"Liberian constitutional referendum, 1949",1949 Liberian constitutional referendum
"Liberian constitutional referendum, 1955",1955 Liberian constitutional referendum
"Liberian constitutional referendum, 1972",1972 Liberian constitutional referendum
"Liberian constitutional referendum, 1984",1984 Liberian constitutional referendum
"Liberian constitutional referendum, 2011",2011 Liberian constitutional referendum
"Liberian independence referendum, 1846",1846 Liberian independence referendum
"Liberian presidential term referendum, 1975",1975 Liberian presidential term referendum
"Liberian term of office referendum, 1869",1869 Liberian term of office referendum
"Libertarian Party of Canada candidates, 1980 Canadian federal election",Libertarian Party of Canada candidates in the 1980 Canadian federal election
"Libertarian Party of Canada candidates, 1984 Canadian federal election",Libertarian Party of Canada candidates in the 1984 Canadian federal election
"Libertarian Party of Canada candidates, 1988 Canadian federal election",Libertarian Party of Canada candidates in the 1988 Canadian federal election
"Libertarian Party of Canada candidates, 1993 Canadian federal election",Libertarian Party of Canada candidates in the 1993 Canadian federal election
"Libertarian Party of Canada candidates, 2006 Canadian federal election",Libertarian Party of Canada candidates in the 2006 Canadian federal election
"Libertarian Party of Canada candidates, 2008 Canadian federal election",Libertarian Party of Canada candidates in the 2008 Canadian federal election
"Libertarian Party of Canada candidates, 2011 Canadian federal election",Libertarian Party of Canada candidates in the 2011 Canadian federal election
"Libertarian Party of Canada candidates, 2015 Canadian federal election",Libertarian Party of Canada candidates in the 2015 Canadian federal election
"Libertarian Party presidential debates and forums, 2016",2016 Libertarian Party presidential debates and forums
"Libertarian Party presidential primaries, 2016",2016 Libertarian Party presidential primaries
"Libertarian Party presidential primaries, 2020",2020 Libertarian Party presidential primaries
"Libyan Federation of Arab Republics referendum, 1971",1971 Libyan Federation of Arab Republics referendum
"Liechtenstein alcohol tax referendum, 1929",1929 Liechtenstein alcohol tax referendum
"Liechtenstein Alps referendum, 1967",1967 Liechtenstein Alps referendum
"Liechtenstein citizenship referendum, 1986",1986 Liechtenstein citizenship referendum
"Liechtenstein constitutional referendum, 1981",1981 Liechtenstein constitutional referendum
"Liechtenstein constitutional referendum, 2003",2003 Liechtenstein constitutional referendum
"Liechtenstein constitutional referendum, 2005",2005 Liechtenstein constitutional referendum
"Liechtenstein constitutional referendum, 2012",2012 Liechtenstein constitutional referendum
"Liechtenstein department stores referendum, 1937",1937 Liechtenstein department stores referendum
"Liechtenstein dogs referendum, 2006",2006 Liechtenstein dogs referendum
"Liechtenstein double yes referendum, 1987",1987 Liechtenstein double yes referendum
"Liechtenstein electoral system referendum, 1932",1932 Liechtenstein electoral system referendum
"Liechtenstein electoral system referendum, 1935",1935 Liechtenstein electoral system referendum
"Liechtenstein European Economic Area membership referendum, 1995",1995 Liechtenstein European Economic Area membership referendum
"Liechtenstein Family Allowances Act referendum, 2016",2016 Liechtenstein Family Allowances Act referendum
"Liechtenstein family grants referendum, 1965",1965 Liechtenstein family grants referendum
"Liechtenstein fire insurance referendum, 1926",1926 Liechtenstein fire insurance referendum
"Liechtenstein fishing licences referendum, 1954",1954 Liechtenstein fishing licences referendum
"Liechtenstein general election, April 1926",April 1926 Liechtenstein general election
"Liechtenstein general election, February 1953",February 1953 Liechtenstein general election
"Liechtenstein general election, February 1993",February 1993 Liechtenstein general election
"Liechtenstein general election, January 1926",January 1926 Liechtenstein general election
"Liechtenstein general election, June 1953",June 1953 Liechtenstein general election
"Liechtenstein general election, October 1993",October 1993 Liechtenstein general election
"Liechtenstein Health Insurance Act referendum, 2015",2015 Liechtenstein Health Insurance Act referendum
"Liechtenstein health insurance referendum, 1999",1999 Liechtenstein health insurance referendum
"Liechtenstein insurance referendum, 1952",1952 Liechtenstein insurance referendum
"Liechtenstein Landtag size referendum, 1945",1945 Liechtenstein Landtag size referendum
"Liechtenstein Landtag size referendum, 1972",1972 Liechtenstein Landtag size referendum
"Liechtenstein operations centre referendum, 1977",1977 Liechtenstein operations centre referendum
"Liechtenstein pensions referendum, 2014",2014 Liechtenstein pensions referendum
"Liechtenstein public buildings referendum, 1993",1993 Liechtenstein public buildings referendum
"Liechtenstein referendum, 1919",1919 Liechtenstein referendum
"Liechtenstein referendum, 1962",1962 Liechtenstein referendum
"Liechtenstein referendum, 1980",1980 Liechtenstein referendum
"Liechtenstein referendum, 1991",1991 Liechtenstein referendum
"Liechtenstein referendum, 2004",2004 Liechtenstein referendum
"Liechtenstein referendum, 2010",2010 Liechtenstein referendum
"Liechtenstein referendums, 1925",1925 Liechtenstein referendums
"Liechtenstein referendums, 1927",1927 Liechtenstein referendums
"Liechtenstein referendums, 1930",1930 Liechtenstein referendums
"Liechtenstein referendums, 1947",1947 Liechtenstein referendums
"Liechtenstein referendums, 1961",1961 Liechtenstein referendums
"Liechtenstein referendums, 1968",1968 Liechtenstein referendums
"Liechtenstein referendums, 1973",1973 Liechtenstein referendums
"Liechtenstein referendums, 1975",1975 Liechtenstein referendums
"Liechtenstein referendums, 1985",1985 Liechtenstein referendums
"Liechtenstein referendums, 1988",1988 Liechtenstein referendums
"Liechtenstein referendums, 1989",1989 Liechtenstein referendums
"Liechtenstein referendums, 1992",1992 Liechtenstein referendums
"Liechtenstein referendums, 2000",2000 Liechtenstein referendums
"Liechtenstein referendums, 2002",2002 Liechtenstein referendums
"Liechtenstein referendums, 2009",2009 Liechtenstein referendums
"Liechtenstein referendums, 2011",2011 Liechtenstein referendums
"Liechtenstein Regierungsverweser referendum, 1921",1921 Liechtenstein Regierungsverweser referendum
"Liechtenstein tax adjustment referendum, 1970",1970 Liechtenstein tax adjustment referendum
"Liechtenstein tax law referendum, 1922",1922 Liechtenstein tax law referendum
"Liechtenstein tax law referendum, 1924",1924 Liechtenstein tax law referendum
"Liechtenstein tax referendum, 1990",1990 Liechtenstein tax referendum
"Liechtenstein trade initiative referendum, 1964",1964 Liechtenstein trade initiative referendum
"Liechtenstein Trade, Commerce and Industry Regulation Act referendum, 1949","1949 Liechtenstein Trade, Commerce and Industry Regulation Act referendum"
"Liechtenstein unemployment insurance referendum, 1931",1931 Liechtenstein unemployment insurance referendum
"Liechtenstein Vaduz bypass referendum, 1976",1976 Liechtenstein Vaduz bypass referendum
"Liechtenstein weapons law referendum, 1950",1950 Liechtenstein weapons law referendum
"Liechtenstein women's suffrage referendum, 1971",1971 Liechtenstein women's suffrage referendum
"Liechtenstein women's suffrage referendum, 1984",1984 Liechtenstein women's suffrage referendum
"Lincoln Chafee presidential campaign, 2016",2016 Lincoln Chafee presidential campaign
"Linda McMahon U.S. Senate campaign, 2010",2010 Linda McMahon U.S. Senate campaign
"Lindsey Graham presidential campaign, 2016",2016 Lindsey Graham presidential campaign
"List of Democrats who opposed the Hillary Clinton presidential campaign, 2016",List of Democrats who opposed the 2016 Hillary Clinton presidential campaign
"List of Donald Trump presidential campaign endorsements, 2016",List of Donald Trump 2016 presidential campaign endorsements
"List of Donald Trump presidential campaign endorsements, 2020",List of Donald Trump 2020 presidential campaign endorsements
"List of Donald Trump presidential campaign primary endorsements, 2016",List of Donald Trump 2016 presidential campaign primary endorsements
"List of electorates in the New Zealand general election, 2002, by party vote",List of electorates in the 2002 New Zealand general election by party vote
"List of electorates in the New Zealand general election, 2005, by party vote",List of electorates in the 2005 New Zealand general election by party vote
"List of endorsements in the Scottish independence referendum, 2014",List of endorsements in the 2014 Scottish independence referendum
"List of Evan McMullin presidential campaign endorsements, 2016",List of Evan McMullin 2016 presidential campaign endorsements
"List of Gary Johnson presidential campaign endorsements, 2012",List of Gary Johnson 2012 presidential campaign endorsements
"List of Gary Johnson presidential campaign endorsements, 2016",List of Gary Johnson 2016 presidential campaign endorsements
"List of Hillary Clinton presidential campaign endorsements, 2008",List of Hillary Clinton 2008 presidential campaign endorsements
"List of Hillary Clinton presidential campaign non-political endorsements, 2016",List of Hillary Clinton 2016 presidential campaign non-political endorsements
"List of Hillary Clinton presidential campaign political endorsements, 2016",List of Hillary Clinton 2016 presidential campaign political endorsements
"List of Jill Stein presidential campaign endorsements, 2012",List of Jill Stein 2012 presidential campaign endorsements
"List of Jill Stein presidential campaign endorsements, 2016",List of Jill Stein 2016 presidential campaign endorsements
"List of John Kasich presidential campaign endorsements, 2016",List of John Kasich 2016 presidential campaign endorsements
"List of John McCain presidential campaign endorsements, 2008",List of John McCain 2008 presidential campaign endorsements
"List of John McCain presidential campaign staff members, 2008",List of John McCain 2008 presidential campaign staff members
List of Libertas list candidates at the 2009 European Parliament elections,List of Libertas list candidates in the 2009 European Parliament election
"List of Mitt Romney presidential campaign endorsements, 2012",List of Mitt Romney 2012 presidential campaign endorsements
"List of MPs elected in the United Kingdom general election, 1832–33",List of MPs elected in the 1832–33 United Kingdom general election 
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies A–B",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies A–B)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies C",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies C)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies D–E",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies D–E)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies F–I",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies F–I)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies J–L",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies J–L)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies M–N",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies M–N)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies O–R",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies O–R)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies S–T",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies S–T)
"List of MPs elected in the United Kingdom general election, 1832–33/Constituencies U–Z",List of MPs elected in the 1832–33 United Kingdom general election (Constituencies U–Z)
"List of MPs elected in the United Kingdom general election, December 1910",List of MPs elected in the December 1910 United Kingdom general election 
"List of MPs elected in the United Kingdom general election, December 1910 (Ireland)",List of MPs elected in the December 1910 United Kingdom general election (Ireland)
"List of MPs elected in the United Kingdom general election, February 1974",List of MPs elected in the February 1974 United Kingdom general election
"List of MPs elected in the United Kingdom general election, January 1910",List of MPs elected in the January 1910 United Kingdom general election 
"List of MPs elected in the United Kingdom general election, October 1974",List of MPs elected in the October 1974 United Kingdom general election 
"List of MPs who stood down at the Turkish general election, June 2015",List of MPs who stood down at the June 2015 Turkish general election
"List of rallies for the Donald Trump presidential campaign, 2016",List of rallies for the 2016 Donald Trump presidential campaign
"List of Republicans who opposed the Donald Trump presidential campaign, 2016",List of Republicans who opposed the 2016 Donald Trump presidential campaign
"List of Ted Cruz presidential campaign endorsements, 2016",List of Ted Cruz 2016 presidential campaign endorsements
"List of United States presidential electors, 1792","List of 1792 United States presidential electors,"
"List of United States presidential electors, 1796","List of 1796 United States presidential electors,"
"List of United States presidential electors, 2000","List of 2000 United States presidential electors,"
"List of United States presidential electors, 2004","List of 2004 United States presidential electors,"
"List of United States presidential electors, 2008","List of 2008 United States presidential electors,"
"List of United States presidential electors, 2012","List of 2012 United States presidential electors,"
"List of United States presidential electors, 2016","List of 2016 United States presidential electors,"
"Lithuanian constitutional referendum, 1992",1992 Lithuanian constitutional referendum
"Lithuanian constitutional referendum, 1996",1996 Lithuanian constitutional referendum
"Lithuanian European Union membership referendum, 2003",2003 Lithuanian European Union membership referendum
"Lithuanian independence referendum, 1991",1991 Lithuanian independence referendum
"Lithuanian land sales referendum, 2014",2014 Lithuanian land sales referendum
"Lithuanian nuclear power referendum, 2008",2008 Lithuanian nuclear power referendum
"Lithuanian nuclear power referendum, 2012",2012 Lithuanian nuclear power referendum
"Lithuanian presidency referendum, 1992",1992 Lithuanian presidency referendum
"Lithuanian presidential election, 1997–1998",1997–1998 Lithuanian presidential election
"Lithuanian presidential election, 2002–2003",2002–2003 Lithuanian presidential election
"Lithuanian privatisation referendum, 1994",1994 Lithuanian privatisation referendum
"Lithuanian referendum, 1996",1996 Lithuanian referendum
"Lithuanian Soviet withdrawal referendum, 1992",1992 Lithuanian Soviet withdrawal referendum
"Liverpool by-election, August 1880",August 1880 Liverpool by-election
"Liverpool by-election, February 1880",February 1880 Liverpool by-election
Local electoral calendar 2010,2010 local electoral calendar
Local electoral calendar 2011,2011 local electoral calendar
Local electoral calendar 2012,2012 local electoral calendar
Local electoral calendar 2013,2013 local electoral calendar
Local electoral calendar 2014,2014 local electoral calendar
Local electoral calendar 2015,2015 local electoral calendar
Local electoral calendar 2016,2016 local electoral calendar
Local electoral calendar 2017,2017 local electoral calendar
Local electoral calendar 2018,2018 local electoral calendar
Local electoral calendar 2019,2019 local electoral calendar
"Lombard autonomy referendum, 2017",2017 Lombard autonomy referendum
"Los Angeles mayoral election, March 1909",March 1909 Los Angeles mayoral election
"Los Angeles mayoral election, November 1909",November 1909 Los Angeles mayoral election
"Louisiana Democratic primary, 2008",2008 Louisiana Democratic primary
"Louisiana Democratic primary, 2012",2012 Louisiana Democratic primary
"Louisiana Democratic primary, 2016",2016 Louisiana Democratic primary
"Louisiana gubernatorial election (Confederate), 1863",1863 Louisiana gubernatorial election (Confederate)
"Louisiana gubernatorial election (Union), 1864",1864 Louisiana gubernatorial election (Union)
"Louisiana gubernatorial election, 1959–60",1959–60 Louisiana gubernatorial election
"Louisiana gubernatorial election, 1963–64",1963–64 Louisiana gubernatorial election
"Louisiana gubernatorial election, 1971–72",1971–72 Louisiana gubernatorial election
"Louisiana Republican caucuses and primary, 2008",2008 Louisiana Republican caucuses and primary
"Luxembourg constitutional referendum, 2015",2015 Luxembourg constitutional referendum
"Luxembourg European Constitution referendum, 2005",2005 Luxembourg European Constitution referendum
"Luxembourg political parties referendum, 1937",1937 Luxembourg political parties referendum
"Luxembourg referendum, 1919",1919 Luxembourg referendum
"Macedonian autonomy referendum, 2004",2004 Macedonian autonomy referendum
"Macedonian independence referendum, 1991",1991 Macedonian independence referendum
"Macedonian referendum, 2018",2018 Macedonian referendum
"Mackerras federal election pendulum, 2006",2006 Mackerras federal election pendulum
"Madrilenian regional election, May 2003",May 2003 Madrilenian regional election
"Madrilenian regional election, October 2003",October 2003 Madrilenian regional election
"Mahoran Comoros referendum, 1976",1976 Mahoran Comoros referendum
"Mahoran status referendum, 1976",1976 Mahoran status referendum
"Mahoran status referendum, 2000",2000 Mahoran status referendum
"Mahoran status referendum, 2009",2009 Mahoran status referendum
"Maine Democratic caucuses, 2004",2004 Maine Democratic caucuses
"Maine Democratic caucuses, 2008",2008 Maine Democratic caucuses
"Maine Democratic caucuses, 2012",2012 Maine Democratic caucuses
"Maine Democratic caucuses, 2016",2016 Maine Democratic caucuses
"Maine Question 1, 2009",2009 Maine Question 1
"Maine Question 1, 2011",2011 Maine Question 1
"Maine Question 1, 2012",2012 Maine Question 1
"Maine Question 1, 2014",2014 Maine Question 1
"Maine Question 1, 2015",2015 Maine Question 1
"Maine Question 1, 2016",2016 Maine Question 1
"Maine Question 1, 2017",2017 Maine Question 1
"Maine Question 1, June 2018",June 2018 Maine Question 1
"Maine Question 1, November 2018",November 2018 Maine Question 1
"Maine Question 2, 2016",2016 Maine Question 2
"Maine Question 2, 2017",2017 Maine Question 2
"Maine Question 3, 2016",2016 Maine Question 3
"Maine Question 4, 2016",2016 Maine Question 4
"Maine Question 5, 2016",2016 Maine Question 5
"Maine Republican caucuses, 2008",2008 Maine Republican caucuses
"Maine Republican caucuses, 2016",2016 Maine Republican caucuses
"Malagasy constitutional referendum, 1958",1958 Malagasy constitutional referendum
"Malagasy constitutional referendum, 1975",1975 Malagasy constitutional referendum
"Malagasy constitutional referendum, 1992",1992 Malagasy constitutional referendum
"Malagasy constitutional referendum, 1995",1995 Malagasy constitutional referendum
"Malagasy constitutional referendum, 1998",1998 Malagasy constitutional referendum
"Malagasy constitutional referendum, 2007",2007 Malagasy constitutional referendum
"Malagasy constitutional referendum, 2010",2010 Malagasy constitutional referendum
"Malagasy military rule referendum, 1972",1972 Malagasy military rule referendum
"Malagasy presidential election, 1992–93",1992–93 Malagasy presidential election
"Malawian democracy referendum, 1993",1993 Malawian democracy referendum
"Maldivian constitutional referendum, 1952",1952 Maldivian constitutional referendum
"Maldivian constitutional referendum, 1953",1953 Maldivian constitutional referendum
"Maldivian constitutional referendum, 1968",1968 Maldivian constitutional referendum
"Maldivian constitutional referendum, 2007",2007 Maldivian constitutional referendum
"Maldivian revolt referendum, 1959",1959 Maldivian revolt referendum
"Malian constitutional referendum, 1974",1974 Malian constitutional referendum
"Malian constitutional referendum, 1992",1992 Malian constitutional referendum
"Malian constitutional referendum, 2017",2017 Malian constitutional referendum
"Malian parliamentary election, April 1997",April 1997 Malian parliamentary election
"Malian parliamentary election, July 1997",July 1997 Malian parliamentary election
"Maltese constitutional referendum, 1964",1964 Maltese constitutional referendum
"Maltese Council of Government referendum, 1870",1870 Maltese Council of Government referendum
"Maltese European Union membership referendum, 2003",2003 Maltese European Union membership referendum
"Maltese general election, April 1904",April 1904 Maltese general election
"Maltese general election, February 1904",February 1904 Maltese general election
"Maltese general election, January 1904",January 1904 Maltese general election
"Maltese spring hunting referendum, 2015",2015 Maltese spring hunting referendum
"Maltese United Kingdom integration referendum, 1956",1956 Maltese United Kingdom integration referendum
Manihiki by-election 2005,2005 Manihiki by-election
"Mar Roxas presidential campaign, 2016",2016 Mar Roxas presidential campaign
"Marco Rubio presidential campaign, 2016",2016 Marco Rubio presidential campaign
"Marijuana Party of Canada candidates, 2000 Canadian federal election",Marijuana Party of Canada candidates in the 2000 Canadian federal election
"Marijuana Party of Canada candidates, 2004 Canadian federal election",Marijuana Party of Canada candidates in the 2004 Canadian federal election
"Marine Le Pen presidential campaign, 2012",2012 Marine Le Pen presidential campaign
"Marshallese Compact of Free Association referendum, 1983",1983 Marshallese Compact of Free Association referendum
"Marshallese constitutional referendum, 1979",1979 Marshallese constitutional referendum
"Marshallese referendum, 1990",1990 Marshallese referendum
"Marshallese referendum, 1995",1995 Marshallese referendum
"Marshallese status referendum, 1977",1977 Marshallese status referendum
"Martin O'Malley presidential campaign, 2016",2016 Martin O'Malley presidential campaign
"Martine Aubry presidential campaign, 2012",2012 Martine Aubry presidential campaign
"Martiniquean autonomy referendum, 2003",2003 Martiniquean autonomy referendum
"Martiniquean status referendum, 2010",2010 Martiniquean status referendum
"Maryland annexation referendum, 1857",1857 Maryland annexation referendum
"Maryland constitutional referendum, 1854",1854 Maryland constitutional referendum
"Maryland Democratic primary, 2004",2004 Maryland Democratic primary
"Maryland Democratic primary, 2008",2008 Maryland Democratic primary
"Maryland Democratic primary, 2016",2016 Maryland Democratic primary
"Maryland independence referendum, 1853",1853 Maryland independence referendum
"Maryland Republican primary, 2008",2008 Maryland Republican primary
"Maryland Republican primary, 2016",2016 Maryland Republican primary
"Massachusetts ballot measures, 2002",2002 Massachusetts ballot measures
"Massachusetts ballot measures, 2006",2006 Massachusetts ballot measures
"Massachusetts ballot measures, 2008",2008 Massachusetts ballot measures
"Massachusetts ballot measures, 2010",2010 Massachusetts ballot measures
"Massachusetts ballot measures, 2012",2012 Massachusetts ballot measures
"Massachusetts ballot measures, 2014",2014 Massachusetts ballot measures
"Massachusetts ballot measures, 2016",2016 Massachusetts ballot measures
"Massachusetts ballot measures, 2018",2018 Massachusetts ballot measures
"Massachusetts Democratic presidential primary, 2008",2008 Massachusetts Democratic presidential primary
"Massachusetts Democratic primary, 2012",2012 Massachusetts Democratic primary
"Massachusetts Democratic primary, 2016",2016 Massachusetts Democratic primary
"Massachusetts Republican presidential primary, 2008",2008 Massachusetts Republican presidential primary
"Massachusetts Republican primary, 2008",2008 Massachusetts Republican primary
"Massachusetts's 12th congressional district special election, 1801–1802",1801–1802 Massachusetts's 12th congressional district special election
Matavera by-election 2006,2006 Matavera by-election
"Mauritanian constitutional referendum, 1958",1958 Mauritanian constitutional referendum
"Mauritanian constitutional referendum, 1991",1991 Mauritanian constitutional referendum
"Mauritanian constitutional referendum, 2006",2006 Mauritanian constitutional referendum
"Mauritanian constitutional referendum, 2017",2017 Mauritanian constitutional referendum
Mawthengkut bye-election 1973,1973 Mawthengkut by-election 
"Maxim Suraykin presidential campaign, 2018",2018 Maxim Suraykin presidential campaign
"Mexican constitutional referendum, 1867",1867 Mexican constitutional referendum
"Mexican emperor referendum, 1863",1863 Mexican emperor referendum
"Mexican Fobaproa funds referendum, 1998",1998 Mexican Fobaproa funds referendum
Mexican general election 2006 controversies,Controversies of the 2006 Mexican general election
"Mexican presidential referendum, 1854",1854 Mexican presidential referendum
"Mexican referendums, 1995",1995 Mexican referendums
"Mexican referendums, 1999",1999 Mexican referendums
"Michael Badnarik presidential campaign, 2004",2004 Michael Badnarik presidential campaign
"Michael Dukakis presidential campaign, 1988",1988 Michael Dukakis presidential campaign
"Michele Bachmann presidential campaign, 2012",2012 Michele Bachmann presidential campaign
"Michigan ballot proposals, 2012",2012 Michigan ballot proposals
"Michigan Democratic primary, 2008",2008 Michigan Democratic primary
"Michigan Democratic primary, 2012",2012 Michigan Democratic primary
"Michigan Democratic primary, 2016",2016 Michigan Democratic primary
"Michigan presidential primary, 2008",2008 Michigan presidential primary
"Michigan Republican primary, 2008",2008 Michigan Republican primary
"Micronesian Compact of Free Association referendum, 1983",1983 Micronesian Compact of Free Association referendum
"Micronesian Congressional term referendum, 1995",1995 Micronesian Congressional term referendum
"Micronesian constitutional referendum, 1991",1991 Micronesian constitutional referendum
"Micronesian constitutional referendum, 2002",2002 Micronesian constitutional referendum
"Micronesian imports referendum, 1995",1995 Micronesian imports referendum
"Micronesian referendum, 1999",1999 Micronesian referendum
"Mike Gravel presidential campaign, 2008",2008 Mike Gravel presidential campaign
"Mike Huckabee presidential campaign, 2008",2008 Mike Huckabee presidential campaign
"Mike Huckabee presidential campaign, 2016",2016 Mike Huckabee presidential campaign
"Mikhail Gorbachev presidential campaign, 1996",1996 Mikhail Gorbachev presidential campaign
"Milton Shapp presidential campaign, 1976",1976 Milton Shapp presidential campaign
"Mimi Soltysik presidential campaign, 2016",2016 Mimi Soltysik presidential campaign
"Minnesota Democratic caucuses, 2008",2008 Minnesota Democratic caucuses
"Minnesota Democratic caucuses, 2012",2012 Minnesota Democratic caucuses
"Minnesota Democratic caucuses, 2016",2016 Minnesota Democratic caucuses
"Minnesota Republican caucuses, 2008",2008 Minnesota Republican caucuses
"Minnesota Republican caucuses, 2012",2012 Minnesota Republican caucuses
"Minnesota Republican caucuses, 2016",2016 Minnesota Republican caucuses
"Mir-Hossein Mousavi presidential campaign, 2009",2009 Mir-Hossein Mousavi presidential campaign
"Miriam Defensor Santiago presidential campaign, 2016",2016 Miriam Defensor Santiago presidential campaign
"Mississippi Democratic primary, 2008",2008 Mississippi Democratic primary
"Mississippi Democratic primary, 2012",2012 Mississippi Democratic primary
"Mississippi Democratic primary, 2016",2016 Mississippi Democratic primary
"Mississippi Republican primary, 2008",2008 Mississippi Republican primary
"Mississippi Republican primary, 2016",2016 Mississippi Republican primary
"Missouri Democratic primary, 2000",2000 Missouri Democratic primary
"Missouri Democratic primary, 2004",2004 Missouri Democratic primary
"Missouri Democratic primary, 2008",2008 Missouri Democratic primary
"Missouri Democratic primary, 2016",2016 Missouri Democratic primary
"Missouri Republican primary, 2000",2000 Missouri Republican primary
"Missouri Republican primary, 2004",2004 Missouri Republican primary
"Missouri Republican primary, 2008",2008 Missouri Republican primary
"Missouri Republican primary, 2016",2016 Missouri Republican primary
Mitiaro by-election 2014,2014 Mitiaro by-election
"Mitt Romney presidential campaign, 2008",2008 Mitt Romney presidential campaign
"Mitt Romney presidential campaign, 2012",2012 Mitt Romney presidential campaign
"Mohammad Bagher Ghalibaf presidential campaign, 2017",2017 Mohammad Bagher Ghalibaf presidential campaign
"Mohammad Reza Aref presidential campaign, 2013",2013 Mohammad Reza Aref presidential campaign
"Mohsen Rezaee presidential campaign, 2013",2013 Mohsen Rezaee presidential campaign
"Moldovan constitutional referendum, 1999",1999 Moldovan constitutional referendum
"Moldovan constitutional referendum, 2010",2010 Moldovan constitutional referendum
"Moldovan parliamentary election, April 2009",April 2009 Moldovan parliamentary election
"Moldovan parliamentary election, July 2009",July 2009 Moldovan parliamentary election
"Moldovan presidential election, 2011–2012",2011–2012 Moldovan presidential election
"Moldovan presidential election, May–June 2009",May–June 2009 Moldovan presidential election
"Moldovan presidential election, November–December 2009",November–December 2009 Moldovan presidential election
"Moldovan referendum, 1994",1994 Moldovan referendum
"Mongolian independence referendum, 1945",1945 Mongolian independence referendum
"Montana Democratic primary, 2008",2008 Montana Democratic primary
"Montana Democratic primary, 2016",2016 Montana Democratic primary
"Montana Republican caucuses, 2008",2008 Montana Republican caucuses
"Montenegrin general election, 1992–93",1992–93 Montenegrin general election
"Montenegrin independence referendum, 1992",1992 Montenegrin independence referendum
"Montenegrin independence referendum, 2006",2006 Montenegrin independence referendum
"Montenegrin presidential election, February 2003",February 2003 Montenegrin presidential election
"Montenegrin presidential election, May 2003",May 2003 Montenegrin presidential election
"Moroccan Arabic–African Federation Treaty referendum, 1984",1984 Moroccan Arabic–African Federation Treaty referendum
"Moroccan constitutional referendum, 1962",1962 Moroccan constitutional referendum
"Moroccan constitutional referendum, 1970",1970 Moroccan constitutional referendum
"Moroccan constitutional referendum, 1972",1972 Moroccan constitutional referendum
"Moroccan constitutional referendum, 1992",1992 Moroccan constitutional referendum
"Moroccan constitutional referendum, 1995",1995 Moroccan constitutional referendum
"Moroccan constitutional referendum, 1996",1996 Moroccan constitutional referendum
"Moroccan constitutional referendum, 2011",2011 Moroccan constitutional referendum
"Moroccan constitutional referendum, 23 May 1980",23 May 1980 Moroccan constitutional referendum
"Moroccan constitutional referendum, 30 May 1980",30 May 1980 Moroccan constitutional referendum
"Moroccan parliamentary mandate referendum, 1989",1989 Moroccan parliamentary mandate referendum
"Mostafa Hashemitaba presidential campaign, 2017",2017 Mostafa Hashemitaba presidential campaign
"Mostafa Mir-Salim presidential campaign, 2017",2017 Mostafa Mir-Salim presidential campaign
"Moyen-Congo constitutional referendum, 1958",1958 Moyen-Congo constitutional referendum
"Moyen-Congo Representative Council election, 1946–1947",1946–1947 Moyen-Congo Representative Council election
"Muharrem İnce presidential campaign, 2018",2018 Muharrem İnce presidential campaign
"Municipality of Anchorage, Alaska, Proposition 1, 2018","2018 Municipality of Anchorage, Alaska, Proposition 1"
Murienua by-election 2013,2013 Murienua by-election
Murienua by-election 2014,2014 Murienua by-election
"Myanmar constitutional referendum, 2008",2008 Myanmar constitutional referendum
"Nagorno-Karabakh constitutional referendum, 2006",2006 Nagorno-Karabakh constitutional referendum
"Nagorno-Karabakh constitutional referendum, 2017",2017 Nagorno-Karabakh constitutional referendum
"Nagorno-Karabakh independence referendum, 1991",1991 Nagorno-Karabakh independence referendum
