Existing name,New name
Arizona Proposition 203 (2010),2010 Arizona Proposition 203
Arizona Proposition 207 (2006),2006 Arizona Proposition 207
"Arizona Republican primary, 2008",2008 Arizona Republican primary
"Arizona Republican primary, 2016",2016 Arizona Republican primary
"Arkansas Democratic primary, 2008",2008 Arkansas Democratic primary
"Arkansas Democratic primary, 2012",2012 Arkansas Democratic primary
"Arkansas Democratic primary, 2016",2016 Arkansas Democratic primary
"Arkansas Republican primary, 2008",2008 Arkansas Republican primary
"Arkansas Republican primary, 2016",2016 Arkansas Republican primary
"Armenian constitutional referendum, 1995",1995 Armenian constitutional referendum
"Armenian constitutional referendum, 2003",2003 Armenian constitutional referendum
"Armenian constitutional referendum, 2005",2005 Armenian constitutional referendum
"Armenian constitutional referendum, 2015",2015 Armenian constitutional referendum
"Armenian independence referendum, 1991",1991 Armenian independence referendum
"Aruban independence referendum, 1977",1977 Aruban independence referendum
Arutanga by-election 2003,2003 Arutanga by-election
"Austin Petersen presidential campaign, 2016",2016 Austin Petersen presidential campaign
"Australian Capital Territory electoral system referendum, 1992",1992 Australian Capital Territory electoral system referendum
"Australian Communist Party ban referendum, 1951",1951 Australian Communist Party ban referendum
"Australian conscription referendum, 1916",1916 Australian conscription referendum
"Australian conscription referendum, 1917",1917 Australian conscription referendum
"Australian constitutional referendums, 1898–1900",1898–1900 Australian constitutional referendums
"Australian federal election debates and forums, 2016",2016 Australian federal election debates and forums
"Australian Labor Party (NSW Branch) leadership spill, 2015",2015 Australian Labor Party (NSW Branch) leadership spill
"Australian Labor Party leadership election, October 2013",October 2013 Australian Labor Party leadership election
"Australian Labor Party leadership spill, 1913",1913 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1931",1931 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1976",1976 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1977",1977 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1982",1982 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1983",1983 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2005",2005 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2006",2006 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2010",2010 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2012",2012 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, June 2013",June 2013 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, March 2013",March 2013 Australian Labor Party leadership spill
"Australian Labor Party leadership spills, 2003",2003 Australian Labor Party leadership spills
"Australian plebiscite, 1977 (National Song)",1977 Australian plebiscite (National Song)
"Australian Post-War Reconstruction and Democratic Rights referendum, 1944",1944 Australian Post-War Reconstruction and Democratic Rights referendum
"Australian referendum, 1910",1910 Australian referendum
"Australian referendum, 1910 (State Debts)",1910 Australian referendum (State Debts)
"Australian referendum, 1910 (Surplus Revenue)",1910 Australian referendum (Surplus Revenue)
"Australian referendum, 1911",1911 Australian referendum
"Australian referendum, 1911 (Monopolies)",1911 Australian referendum (Monopolies)
"Australian referendum, 1911 (Trade and Commerce)",1911 Australian referendum (Trade and Commerce)
"Australian referendum, 1913",1913 Australian referendum
"Australian referendum, 1913 (Corporations)",1913 Australian referendum (Corporations)
"Australian referendum, 1913 (Industrial Matters)",1913 Australian referendum (Industrial Matters)
"Australian referendum, 1913 (Monopolies)",1913 Australian referendum (Monopolies)
"Australian referendum, 1913 (Railway Disputes)",1913 Australian referendum (Railway Disputes)
"Australian referendum, 1913 (Trade and Commerce)",1913 Australian referendum (Trade and Commerce)
"Australian referendum, 1913 (Trusts)",1913 Australian referendum (Trusts)
"Australian referendum, 1919",1919 Australian referendum
"Australian referendum, 1919 (Legislative Powers)",1919 Australian referendum (Legislative Powers)
"Australian referendum, 1919 (Monopolies)",1919 Australian referendum (Monopolies)
"Australian referendum, 1926",1926 Australian referendum
"Australian referendum, 1926 (Essential Services)",1926 Australian referendum (Essential Services)
"Australian referendum, 1926 (Industry and Commerce)",1926 Australian referendum (Industry and Commerce)
"Australian referendum, 1928 (State Debts)",1928 Australian referendum (State Debts)
"Australian referendum, 1937",1937 Australian referendum
"Australian referendum, 1937 (Aviation)",1937 Australian referendum (Aviation)
"Australian referendum, 1937 (Marketing)",1937 Australian referendum (Marketing)
"Australian referendum, 1946",1946 Australian referendum
"Australian referendum, 1946 (Industrial Employment)",1946 Australian referendum (Industrial Employment)
"Australian referendum, 1946 (Marketing)",1946 Australian referendum (Marketing)
"Australian referendum, 1946 (Social Services)",1946 Australian referendum (Social Services)
"Australian referendum, 1967",1967 Australian referendum
"Australian referendum, 1967 (Aboriginals)",1967 Australian referendum (Aboriginals)
"Australian referendum, 1967 (Parliament)",1967 Australian referendum (Parliament)
"Australian referendum, 1973",1973 Australian referendum
"Australian referendum, 1973 (Incomes)",1973 Australian referendum (Incomes)
"Australian referendum, 1973 (Prices)",1973 Australian referendum (Prices)
"Australian referendum, 1974",1974 Australian referendum
"Australian referendum, 1974 (Democratic Elections)",1974 Australian referendum (Democratic Elections)
"Australian referendum, 1974 (Local Government Bodies)",1974 Australian referendum (Local Government Bodies)
"Australian referendum, 1974 (Mode of Altering the Constitution)",1974 Australian referendum (Mode of Altering the Constitution)
"Australian referendum, 1974 (Simultaneous Elections)",1974 Australian referendum (Simultaneous Elections)
"Australian referendum, 1977",1977 Australian referendum
"Australian referendum, 1977 (Referendums)",1977 Australian referendum (Referendums)
"Australian referendum, 1977 (Retirement of Judges)",1977 Australian referendum (Retirement of Judges)
"Australian referendum, 1977 (Senate Casual Vacancies)",1977 Australian referendum (Senate Casual Vacancies)
"Australian referendum, 1977 (Simultaneous Elections)",1977 Australian referendum (Simultaneous Elections)
"Australian referendum, 1984",1984 Australian referendum
"Australian referendum, 1984 (Interchange of Powers)",1984 Australian referendum (Interchange of Powers)
"Australian referendum, 1984 (Terms of Senators)",1984 Australian referendum (Terms of Senators)
"Australian referendum, 1988",1988 Australian referendum
"Australian rents and prices referendum, 1948",1948 Australian rents and prices referendum
"Australian republic referendum, 1999",1999 Australian republic referendum
"Australian Senate elections referendum, 1906",1906 Australian Senate elections referendum
"Australian Senate special election in Western Australia, 2014",2014 Australian Senate special election in Western Australia
"Austrian Anschluss referendum, 1938",1938 Austrian Anschluss referendum
"Austrian conscription referendum, 2013",2013 Austrian conscription referendum
"Austrian European Union membership referendum, 1994",1994 Austrian European Union membership referendum
"Austrian legislative election campaign posters, 2008",2008 Austrian legislative election campaign posters
"Austrian legislative election issue questionnaires, 2008",2008 Austrian legislative election issue questionnaires
"Austrian nuclear power referendum, 1978",1978 Austrian nuclear power referendum
"Autonomous Region in Muslim Mindanao expansion and inclusion plebiscite, 2001",2001 Autonomous Region in Muslim Mindanao expansion and inclusion plebiscite
"Azerbaijani constitutional referendum, 1995",1995 Azerbaijani constitutional referendum
"Azerbaijani constitutional referendum, 2002",2002 Azerbaijani constitutional referendum
"Azerbaijani constitutional referendum, 2009",2009 Azerbaijani constitutional referendum
"Azerbaijani constitutional referendum, 2016",2016 Azerbaijani constitutional referendum
"Azerbaijani independence referendum, 1991",1991 Azerbaijani independence referendum
"Azerbaijani parliamentary election, 1995–1996",1995–1996 Azerbaijani parliamentary election
"Azerbaijani parliamentary election, 2000–2001",2000–2001 Azerbaijani parliamentary election
"Azerbaijani vote of confidence referendum, 1993",1993 Azerbaijani vote of confidence referendum
"Bahamian constitutional referendum, 2016",2016 Bahamian constitutional referendum
"Bahamian gambling referendum, 2013",2013 Bahamian gambling referendum
"Bahamian referendum, 2002",2002 Bahamian referendum
"Bahraini independence survey, 1970",1970 Bahraini independence survey
"Bangladeshi constitutional referendum, 1991",1991 Bangladeshi constitutional referendum
"Bangladeshi general election, February 1996",February 1996 Bangladeshi general election
"Bangladeshi general election, June 1996",June 1996 Bangladeshi general election
"Bangladeshi military rule referendum, 1985",1985 Bangladeshi military rule referendum
"Bangladeshi presidential confidence referendum, 1977",1977 Bangladeshi presidential confidence referendum
"Bangsamoro Autonomous Region creation plebiscite, 2019",2019 Bangsamoro Autonomous Region creation plebiscite
"Barack Obama election victory speech, 2008",2008 Barack Obama election victory speech
"Barack Obama presidential campaign, 2008",2008 Barack Obama presidential campaign
"Barack Obama presidential campaign, 2012",2012 Barack Obama presidential campaign
"Barack Obama presidential primary campaign, 2008",2008 Barack Obama presidential primary campaign
"Barry Goldwater presidential campaign, 1964",1964 Barry Goldwater presidential campaign
"Basque autonomy referendum, 1933",1933 Basque autonomy referendum
"Basque autonomy referendum, 1979",1979 Basque autonomy referendum
"Batavian Republic constitutional referendum, 1797",1797 Batavian Republic constitutional referendum
"Batavian Republic constitutional referendum, 1798",1798 Batavian Republic constitutional referendum
"Batavian Republic constitutional referendum, 1801",1801 Batavian Republic constitutional referendum
"Batavian Republic constitutional referendum, 1805",1805 Batavian Republic constitutional referendum
"Bath by-election, June 1873",June 1873 Bath by-election
"Bath by-election, May 1873",May 1873 Bath by-election
"Bath by-election, October 1873",October 1873 Bath by-election
"Belarusian referendum, 1995",1995 Belarusian referendum
"Belarusian referendum, 1996",1996 Belarusian referendum
"Belarusian referendum, 2004",2004 Belarusian referendum
"Belfast South by-election, April 1917",April 1917 Belfast South by-election
"Belfast South by-election, July 1917",July 1917 Belfast South by-election
"Belgian general election, August 1870",August 1870 Belgian general election
"Belgian general election, June 1870",June 1870 Belgian general election
"Belgian monarchy referendum, 1950",1950 Belgian monarchy referendum
"Belizean constitutional referendum, 2008",2008 Belizean constitutional referendum
"Belizean municipal elections, 1989–91",1989–91 Belizean municipal elections
"Belizean municipal elections, 1993–94",1993–94 Belizean municipal elections
"Belizean municipal elections, 1996–97",1996–97 Belizean municipal elections
"Belizean municipal elections, 1999–2000",1999–2000 Belizean municipal elections
"Belizean territorial dispute referendum, 2019",2019 Belizean territorial dispute referendum
"Ben Carson presidential campaign, 2016",2016 Ben Carson presidential campaign
"Benigno Aquino III presidential campaign, 2010",2010 Benigno Aquino III presidential campaign
"Beninese constitutional referendum, 1990",1990 Beninese constitutional referendum
"Berlin energy referendum, 2013",2013 Berlin energy referendum
"Bermudian death penalty referendum, 1990",1990 Bermudian death penalty referendum
"Bermudian independence referendum, 1995",1995 Bermudian independence referendum
"Bermudian same-sex union and marriage referendum, 2016",2016 Bermudian same-sex union and marriage referendum
"Bernie Sanders presidential campaign, 2016",2016 Bernie Sanders presidential campaign
"Bhutanese National Council election, 2007–2008",2007–2008 Bhutanese National Council election
"Bihar Legislative Assembly election, February 2005",February 2005 Bihar Legislative Assembly election
"Bihar Legislative Assembly election, October 2005",October 2005 Bihar Legislative Assembly election
"Bill Bradley presidential campaign, 2000",2000 Bill Bradley presidential campaign
"Bill Clinton presidential campaign, 1992",1992 Bill Clinton presidential campaign
"Bill Clinton presidential campaign, 1996",1996 Bill Clinton presidential campaign
"Bill Richardson presidential campaign, 2008",2008 Bill Richardson presidential campaign
"Bloc Québécois candidates, 1997 Canadian federal election",Bloc Québécois candidates in the 1997 Canadian federal election
"Bloc Québécois candidates, 2000 Canadian federal election",Bloc Québécois candidates in the 2000 Canadian federal election
"Bloc Québécois candidates, 2006 Canadian federal election",Bloc Québécois candidates in the 2006 Canadian federal election
"Bloc Québécois candidates, 2008 Canadian federal election",Bloc Québécois candidates in the 2008 Canadian federal election
"Bloc Québécois candidates, 2011 Canadian federal election",Bloc Québécois candidates in the 2011 Canadian federal election
"Bloc Québécois candidates, 2015 Canadian federal election",Bloc Québécois candidates in the 2015 Canadian federal election
"Bob Barr presidential campaign, 2008",2008 Bob Barr presidential campaign
"Bob Graham presidential campaign, 2004",2004 Bob Graham presidential campaign
"Bob McDonnell gubernatorial campaign, 2009",2009 Bob McDonnell gubernatorial campaign
"Bobby Jindal presidential campaign, 2016",2016 Bobby Jindal presidential campaign
"Bolivian autonomy referendums, 2008",2008 Bolivian autonomy referendums
"Bolivian constitutional referendum, 1931",1931 Bolivian constitutional referendum
"Bolivian constitutional referendum, 2009",2009 Bolivian constitutional referendum
"Bolivian constitutional referendum, 2016",2016 Bolivian constitutional referendum
"Bolivian gas referendum, 2004",2004 Bolivian gas referendum
"Bolivian general election, December 1925",December 1925 Bolivian general election
"Bolivian general election, May 1925",May 1925 Bolivian general election
"Bolivian referendum, 1986",1986 Bolivian referendum
"Bolivian regional autonomy referendum, 2006",2006 Bolivian regional autonomy referendum
"Bolivian vote of confidence referendum, 2008",2008 Bolivian vote of confidence referendum
"Bonaire constitutional referendum, 2010",2010 Bonaire constitutional referendum
"Bonaire status referendum, 1994",1994 Bonaire status referendum
"Bonaire status referendum, 2004",2004 Bonaire status referendum
"Bonaire status referendum, 2015",2015 Bonaire status referendum
"Boris Titov presidential campaign, 2018",2018 Boris Titov presidential campaign
"Boris Yeltsin presidential campaign, 1991",1991 Boris Yeltsin presidential campaign
"Boris Yeltsin presidential campaign, 1996",1996 Boris Yeltsin presidential campaign
"Bosnian independence referendum, 1992",1992 Bosnian independence referendum
"Bosnian Serb referendum, 1991",1991 Bosnian Serb referendum
"Botswana electoral reform referendum, 1987",1987 Botswana electoral reform referendum
"Botswana electoral reform referendum, 1997",1997 Botswana electoral reform referendum
"Botswana judicial reform referendum, 2001",2001 Botswana judicial reform referendum
"Bougainvillean independence referendum, 2019",2019 Bougainvillean independence referendum
"Brazilian constitutional referendum, 1963",1963 Brazilian constitutional referendum
"Brazilian constitutional referendum, 1993",1993 Brazilian constitutional referendum
"Brazilian firearms and ammunition referendum, 2005",2005 Brazilian firearms and ammunition referendum
"Brazilian presidential election debates, 2010",2010 Brazilian presidential election debates
"Brecon by-election, 1866 (February)",February 1866 Brecon by-election
"Brian Moore presidential campaign, 2008",2008 Brian Moore presidential campaign
"Brighton by-election, August 1886",August 1886 Brighton by-election
"British Cameroons referendum, 1961",1961 British Cameroons referendum
"British Columbia electoral reform referendum, 2005",2005 British Columbia electoral reform referendum
"British Columbia electoral reform referendum, 2009",2009 British Columbia electoral reform referendum
"British Columbia electoral reform referendum, 2018",2018 British Columbia electoral reform referendum
"British Columbia Indigenous treaty referendum, 2002",2002 British Columbia Indigenous treaty referendum
"British Columbia recall and initiative referendum, 1991",1991 British Columbia recall and initiative referendum
"British Columbia sales tax referendum, 2011",2011 British Columbia sales tax referendum
"British Columbia time plebiscite, 1972",1972 British Columbia time plebiscite
"British Togoland status plebiscite, 1956",1956 British Togoland status plebiscite
"Brno central station referendum, 2016",2016 Brno central station referendum
"Bruce by-election, April 1865",April 1865 Bruce by-election
"Bruce by-election, July 1865",July 1865 Bruce by-election
"Buddy Roemer presidential campaign, 2012",2012 Buddy Roemer presidential campaign
"Bulgarian constitutional referendum, 1971",1971 Bulgarian constitutional referendum
"Bulgarian electoral code referendum, 2015",2015 Bulgarian electoral code referendum
"Bulgarian nuclear power referendum, 2013",2013 Bulgarian nuclear power referendum
"Bulgarian parliamentary election, April 1923",April 1923 Bulgarian parliamentary election
"Bulgarian parliamentary election, November 1923",November 1923 Bulgarian parliamentary election
"Bulgarian presidential election, April 1990",April 1990 Bulgarian presidential election
"Bulgarian presidential election, July–August 1990",July–August 1990 Bulgarian presidential election
"Bulgarian referendum, 2016",2016 Bulgarian referendum
"Bulgarian republic referendum, 1946",1946 Bulgarian republic referendum
"Bulgarian war criminal prosecution referendum, 1922",1922 Bulgarian war criminal prosecution referendum
"Burkinabé constitutional referendum, 1991",1991 Burkinabé constitutional referendum
"Burmese constitutional referendum, 1973",1973 Burmese constitutional referendum
"Burmese general election, 1951–52",1951–52 Burmese general election
"Burundian Charter of National Unity referendum, 1991",1991 Burundian Charter of National Unity referendum
"Burundian constitutional referendum, 1981",1981 Burundian constitutional referendum
"Burundian constitutional referendum, 1992",1992 Burundian constitutional referendum
"Burundian constitutional referendum, 2005",2005 Burundian constitutional referendum
"Burundian constitutional referendum, 2018",2018 Burundian constitutional referendum
"California Democratic primary, 2000",2000 California Democratic primary
"California Democratic primary, 2004",2004 California Democratic primary
"California Democratic primary, 2008",2008 California Democratic primary
"California Democratic primary, 2016",2016 California Democratic primary
"California elections, February 2008",February 2008 California elections
"California elections, June 2008",June 2008 California elections
"California elections, June 2010",June 2010 California elections
"California elections, June 2012",June 2012 California elections
"California elections, June 2016",June 2016 California elections
"California elections, November 2008",November 2008 California elections
"California elections, November 2012",November 2012 California elections
California Proposition 10 (1998),1998 California Proposition 10
California Proposition 10 (2008),2008 California Proposition 10
California Proposition 11 (1972),1972 California Proposition 11
California Proposition 11 (2008),2008 California Proposition 11
California Proposition 12 (2008),2008 California Proposition 12
California Proposition 13 (1978),1978 California Proposition 13
California Proposition 14 (1964),1964 California Proposition 14
California Proposition 14 (2010),2010 California Proposition 14
California Proposition 16 (2010),2010 California Proposition 16
California Proposition 17 (1972),1972 California Proposition 17
California Proposition 18 (1958),1958 California Proposition 18
California Proposition 19 (2010),2010 California Proposition 19
California Proposition 196 (1996),1996 California Proposition 196
California Proposition 1A (2004),2004 California Proposition 1A
California Proposition 1A (2008),2008 California Proposition 1A
California Proposition 1A (2009),2009 California Proposition 1A
California Proposition 1B (2009),2009 California Proposition 1B
California Proposition 1C (2009),2009 California Proposition 1C
California Proposition 1D (2009),2009 California Proposition 1D
California Proposition 1E (2009),2009 California Proposition 1E
California Proposition 1F (2009),2009 California Proposition 1F
California Proposition 2 (2008),2008 California Proposition 2
California Proposition 20 (2010),2010 California Proposition 20
California Proposition 21 (2000),2000 California Proposition 21
California Proposition 215 (1996),1996 California Proposition 215
California Proposition 218 (1996),1996 California Proposition 218
California Proposition 218 (1996) Local Initiative Power,1996 California Proposition 218
California Proposition 22 (2000),2000 California Proposition 22 (Local Initiative Power)
California Proposition 227 (1998),1998 California Proposition 227
California Proposition 23 (2010),2010 California Proposition 23
California Proposition 27 (2010),2010 California Proposition 27
"California Proposition 28, 2012",2012 California Proposition 28
"California Proposition 29, 2012",2012 California Proposition 29
California Proposition 3 (2008),2008 California Proposition 3
"California Proposition 30, 2012",2012 California Proposition 30
"California Proposition 32, 2012",2012 California Proposition 32
"California Proposition 34, 2012",2012 California Proposition 34
California Proposition 36 (2000),2000 California Proposition 36
"California Proposition 36, 2012",2012 California Proposition 36
"California Proposition 37, 2012",2012 California Proposition 37
"California Proposition 38, 2012",2012 California Proposition 38
California Proposition 39 (2000),2000 California Proposition 39
"California Proposition 39, 2012",2012 California Proposition 39
California Proposition 4 (1911),1911 California Proposition 4
California Proposition 4 (2008),2008 California Proposition 4
California Proposition 47 (2002),2002 California Proposition 47
California Proposition 47 (2014),2014 California Proposition 47
California Proposition 48 (2002),2002 California Proposition 48
California Proposition 49 (2002),2002 California Proposition 49
California Proposition 5 (2008),2008 California Proposition 5
California Proposition 50 (2002),2002 California Proposition 50
California Proposition 51 (2002),2002 California Proposition 51
California Proposition 51 (2016),2016 California Proposition 51
California Proposition 52 (2002),2002 California Proposition 52
California Proposition 52 (2016),2016 California Proposition 52
California Proposition 53 (2003),2003 California Proposition 53
California Proposition 53 (2016),2016 California Proposition 53
California Proposition 54 (2003),2003 California Proposition 54
California Proposition 54 (2016),2016 California Proposition 54
California Proposition 55 (2004),2004 California Proposition 55
California Proposition 55 (2016),2016 California Proposition 55
California Proposition 56 (2004),2004 California Proposition 56
California Proposition 56 (2016),2016 California Proposition 56
California Proposition 57 (2004),2004 California Proposition 57
California Proposition 57 (2016),2016 California Proposition 57
California Proposition 58 (2004),2004 California Proposition 58
California Proposition 58 (2016),2016 California Proposition 58
California Proposition 59 (2004),2004 California Proposition 59
California Proposition 59 (2016),2016 California Proposition 59
California Proposition 6 (1998),1998 California Proposition 6
California Proposition 6 (2008),2008 California Proposition 6
California Proposition 6 (2018),2018 California Proposition 6
California Proposition 60 (1986),1986 California Proposition 60
California Proposition 60 (2004),2004 California Proposition 60
California Proposition 60 (2016),2016 California Proposition 60
California Proposition 60A (2004),2004 California Proposition 60A
California Proposition 61 (2004),2004 California Proposition 61
California Proposition 61 (2016),2016 California Proposition 61
California Proposition 62 (2004),2004 California Proposition 62
California Proposition 62 (2016),2016 California Proposition 62
California Proposition 63 (1986),1986 California Proposition 63
California Proposition 63 (2004),2004 California Proposition 63
California Proposition 63 (2016),2016 California Proposition 63
California Proposition 64 (1986),1986 California Proposition 64
California Proposition 64 (2004),2004 California Proposition 64
California Proposition 64 (2016),2016 California Proposition 64
California Proposition 65 (1986),1986 California Proposition 65
California Proposition 65 (2004),2004 California Proposition 65
California Proposition 65 (2016),2016 California Proposition 65
California Proposition 66 (2004),2004 California Proposition 66
California Proposition 66 (2016),2016 California Proposition 66
California Proposition 67 (2016),2016 California Proposition 67
California Proposition 69 (2004),2004 California Proposition 69
California Proposition 69 (2018),2018 California Proposition 69
California Proposition 7 (1911),1911 California Proposition 7
California Proposition 7 (1978),1978 California Proposition 7
California Proposition 7 (2008),2008 California Proposition 7
California Proposition 71 (2004),2004 California Proposition 71
California Proposition 73 (2005),2005 California Proposition 73
California Proposition 74 (2005),2005 California Proposition 74
California Proposition 75 (2005),2005 California Proposition 75
California Proposition 76 (2005),2005 California Proposition 76
California Proposition 77 (2005),2005 California Proposition 77
California Proposition 78 (2005),2005 California Proposition 78
